method,stage,status,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn
ADP-only-DINO,S5,ok,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S5,ok,,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8
fusion,S5,ok,0.31,1.910854364109392,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.9788888888888889,0.9378636944688485,61,9,171,9
ADP-only-DINO,S6,ok,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S6,ok,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4
fusion,S6,ok,0.33,2.7474196321219866,0.890625,0.8142857142857143,0.8507462686567163,0.92,0.9824603174603175,0.9474565048269379,57,7,173,13
ADP-only-DINO,S7,ok,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
AHL-DINO,S7,ok,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23
fusion,S7,ok,0.36,2.4383016739155474,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9814285714285714,0.943498289020923,59,7,173,11
ADP-only-DINO,S8,ok,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
AHL-DINO,S8,ok,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14
fusion,S8,ok,0.6,3.270409768363562,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.9781746031746033,0.9320108659727672,52,7,173,18
