method,stage,split,label,n,p05,p10,p25,p50,p75,p90,p95,max,threshold
AHL-DINO,S7,calib,0,100,0.362927385,0.37728523999999997,0.4008641,0.42910389000000004,0.4787229525,0.563421205,0.5928077464999999,0.7990233,0.5805198
AHL-DINO,S7,calib,1,49,0.39761068,0.401514076,0.4734951,0.6496862,0.8494859,1.03360516,1.1567423399999994,1.4737113,0.5805198
AHL-DINO,S7,test,0,180,0.35215010900000004,0.364689989,0.37769207250000003,0.398421225,0.4207644075,0.45667146999999997,0.5420386530000001,0.7571175,0.5805198
AHL-DINO,S7,test,1,70,0.41746778500000004,0.458674735,0.5622796250000001,0.701352785,0.81014025,0.9613487300000001,1.1237935099999996,1.3054917,0.5805198
AHL-DINO,S8,calib,0,100,0.318453875,0.332830398,0.36436078,0.39687883999999995,0.45787835,0.5388974040000001,0.57889184,0.6776461,0.53998095
AHL-DINO,S8,calib,1,49,0.362266674,0.386798754,0.4777651,0.5490879,0.7153964,0.799980232,0.9021312959999994,0.9921036,0.53998095
AHL-DINO,S8,test,0,180,0.303588389,0.31316457,0.3282851425,0.351404045,0.38538047999999997,0.447798412,0.480505467,0.66941,0.53998095
AHL-DINO,S8,test,1,70,0.3768320375,0.429149983,0.49060318,0.594623805,0.6771285874999999,0.7823940250000001,0.8552773299999997,1.0966722,0.53998095
ADP-only-DINO,S7,calib,0,100,1.213608729839325,1.2303139686584472,1.2847829461097717,1.340867817401886,1.5527882874011993,1.8594346404075626,1.9854476988315581,2.367513418197632,1.9365781545639038
ADP-only-DINO,S7,calib,1,49,1.3075457096099854,1.3889244318008422,1.6910375356674194,2.014206647872925,2.2812817096710205,2.5850208282470706,2.696539545059204,2.7073745727539062,1.9365781545639038
ADP-only-DINO,S7,test,0,180,1.2001222133636475,1.213658344745636,1.2584537267684937,1.2927010655403137,1.345054417848587,1.5304963707923889,1.7595438003540034,2.2578985691070557,1.9365781545639038
ADP-only-DINO,S7,test,1,70,1.5174171566963195,1.6761870384216309,1.862284243106842,2.07645583152771,2.3148698806762695,2.4303257703781127,2.5041444659233094,2.7213852405548096,1.9365781545639038
ADP-only-DINO,S8,calib,0,100,1.213608729839325,1.2303139686584472,1.2847829461097717,1.340867817401886,1.5527882874011993,1.8594346404075626,1.9854476988315581,2.367513418197632,1.9365781545639038
ADP-only-DINO,S8,calib,1,49,1.3075457096099854,1.3889244318008422,1.6910375356674194,2.014206647872925,2.2812817096710205,2.5850208282470706,2.696539545059204,2.7073745727539062,1.9365781545639038
ADP-only-DINO,S8,test,0,180,1.2001222133636475,1.213658344745636,1.2584537267684937,1.2927010655403137,1.345054417848587,1.5304963707923889,1.7595438003540034,2.2578985691070557,1.9365781545639038
ADP-only-DINO,S8,test,1,70,1.5174171566963195,1.6761870384216309,1.862284243106842,2.07645583152771,2.3148698806762695,2.4303257703781127,2.5041444659233094,2.7213852405548096,1.9365781545639038
YOLO26s-eval,S7,calib,0,100,0.0069654530612751845,0.009221712034195662,0.021499767899513245,0.04546739719808102,0.11156845837831497,0.17969839274883276,0.24285223484039292,0.8612074851989746,0.26151829957962036
YOLO26s-eval,S7,calib,1,49,0.028745619580149654,0.055867079645395286,0.3523622751235962,0.9786567091941833,0.9997653365135193,0.9999702215194702,0.9999894380569458,0.9999973773956299,0.26151829957962036
YOLO26s-eval,S7,test,0,180,0.005367748765274882,0.007013757945969701,0.012660765554755926,0.02284962870180607,0.05839680600911379,0.13044077306985855,0.18197209537029257,0.9690614938735962,0.26151829957962036
YOLO26s-eval,S7,test,1,70,0.05533860456198454,0.1605807788670063,0.7740855813026428,0.9947009086608887,0.9997065365314484,0.9999608039855957,0.9999874055385589,0.9999997615814209,0.26151829957962036
YOLO26s-eval,S8,calib,0,100,0.0002947702378151007,0.00046472556423395874,0.0012599273468367755,0.008928121533244848,0.03286220412701368,0.14234526157379168,0.40500077754259095,0.9860610961914062,0.4311862885951996
YOLO26s-eval,S8,calib,1,49,0.01827918253839016,0.03792437985539436,0.697699785232544,0.9920967817306519,0.9994926452636719,0.9999433994293213,0.9999673128128052,0.9999964237213135,0.4311862885951996
YOLO26s-eval,S8,test,0,180,0.00017631731752771885,0.0002411958077573218,0.00046543654752895236,0.0020352117717266083,0.016161213628947735,0.061868503317236805,0.14166388437151792,0.9612802267074585,0.4311862885951996
YOLO26s-eval,S8,test,1,70,0.05156529136002065,0.2857402637600899,0.9785737246274948,0.9976137280464172,0.999512255191803,0.9999548912048339,0.9999763131141662,0.9999997615814209,0.4311862885951996
