method,stage,status,policy,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn,time_total_ms,reason
bridge_alpha_0.35,S5,ok,stage_fixed_recall_best_f1,0.35,1.7830212442567703,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6,134.39977424173102,
ADP-only-DINO,S5,ok,calib_best_f1_with_recall_ge_0.85,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,93.58741701312158,
AHL-DINO,S5,ok,calib_best_f1_with_recall_ge_0.85,,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8,134.39977424173102,
bridge_alpha_0.35,S6,ok,stage_fixed_recall_best_f1,0.35,2.17605756975357,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7,138.26374568405132,
ADP-only-DINO,S6,ok,calib_best_f1_with_recall_ge_0.85,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,107.34914639791974,
AHL-DINO,S6,ok,calib_best_f1_with_recall_ge_0.85,,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4,138.26374568405132,
bridge_alpha_0.35,S7,ok,stage_fixed_recall_best_f1,0.35,2.4641474573623876,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11,132.8211997083925,
ADP-only-DINO,S7,ok,calib_best_f1,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,116.09707823382658,
AHL-DINO,S7,ok,calib_best_f1,,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23,132.8211997083925,
bridge_alpha_0.70,S8,ok,stage_fixed_recall_best_f1,0.7,2.9384913785918236,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12,138.80996960218138,
ADP-only-DINO,S8,ok,calib_best_f1,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,114.72779743252019,
AHL-DINO,S8,ok,calib_best_f1,,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14,138.80996960218138,
ADP-only fallback,S8,ok,calib_best_f1,,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11,114.72779743252019,
