Stage,alpha,threshold,constraint_satisfied,calib_P,calib_R,calib_F1,calib_Acc,calib_AUC-ROC,calib_AUC-PR,P,R,F1,Acc,AUC-ROC,AUC-PR,TP,FP,TN,FN,selected_by_calib
S1,0.9,0.37760154470492185,True,0.5542168674698795,0.9387755102040817,0.6969696969696971,0.7315436241610739,0.8677551020408163,0.8079641710622651,0.6666666666666666,1.0,0.8,0.86,0.9730952380952381,0.9229739538432669,70,35,145,0,False
S1,0.8,0.562013302661198,True,0.5679012345679012,0.9387755102040817,0.7076923076923076,0.7449664429530202,0.8814285714285715,0.8146454922416124,0.693069306930693,1.0,0.8187134502923976,0.876,0.9757936507936509,0.9279383118789375,70,31,149,0,False
S1,0.7,0.44438890195913744,True,0.5647058823529412,0.9795918367346939,0.7164179104477613,0.7449664429530202,0.8942857142857141,0.8307123509399619,0.6796116504854369,1.0,0.8092485549132947,0.868,0.978015873015873,0.9323615237324557,70,33,147,0,True
S2,0.9,0.43707277063034006,True,0.5487804878048781,0.9183673469387755,0.6870229007633588,0.7248322147651006,0.860204081632653,0.8042333737563554,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,0.9714285714285714,0.9190035874343203,69,34,146,1,False
S2,0.8,0.4040818630046045,True,0.5487804878048781,0.9183673469387755,0.6870229007633588,0.7248322147651006,0.8679591836734695,0.8082740213866412,0.6730769230769231,1.0,0.8045977011494253,0.864,0.9743650793650793,0.9267110784337136,70,34,146,0,False
S2,0.7,0.37109095537886905,True,0.5555555555555556,0.9183673469387755,0.6923076923076923,0.7315436241610739,0.8783673469387754,0.8159850859689253,0.6666666666666666,1.0,0.8,0.86,0.9767460317460318,0.9318488352557761,70,35,145,0,True
S3,0.8,0.5574377498277754,True,0.5679012345679012,0.9387755102040817,0.7076923076923076,0.7449664429530202,0.8795918367346939,0.8167749150614906,0.6796116504854369,1.0,0.8092485549132947,0.868,0.9754761904761905,0.9277680696947124,70,33,147,0,False
S3,0.7,0.5859666693337008,True,0.5679012345679012,0.9387755102040817,0.7076923076923076,0.7449664429530202,0.8885714285714287,0.8267543471439276,0.6796116504854369,1.0,0.8092485549132947,0.868,0.9773809523809524,0.9316044392005473,70,33,147,0,False
S3,0.6,0.5561666380512246,True,0.5802469135802469,0.9591836734693877,0.7230769230769232,0.7583892617449665,0.8951020408163264,0.8304078567258624,0.693069306930693,1.0,0.8187134502923976,0.876,0.9792063492063493,0.9359786009301923,70,31,149,0,True
S4,0.8,0.4334263516845088,True,0.5647058823529412,0.9795918367346939,0.7164179104477613,0.7449664429530202,0.8902040816326531,0.8296490613923694,0.6862745098039216,1.0,0.813953488372093,0.872,0.9782539682539683,0.9343220355216834,70,32,148,0,False
S4,0.7,1.0779589124957871,True,0.6111111111111112,0.8979591836734694,0.7272727272727272,0.7785234899328859,0.8995918367346938,0.8408758216231289,0.7777777777777778,1.0,0.8750000000000001,0.92,0.9805555555555555,0.9415901567362839,70,20,160,0,False
S4,0.6,1.8614954855145847,True,0.6461538461538462,0.8571428571428571,0.736842105263158,0.7986577181208053,0.9012244897959183,0.836485932641175,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.948,0.9816666666666667,0.9437322724989505,69,12,168,1,True
