phase,cpu_pil_mean,cpu_pil_median,cpu_pil_p95,gpu_tensor_mean,gpu_tensor_median,gpu_tensor_p95
total_ms,303.8605,214.0249,621.2109,90.2427,93.9546,117.7400
preprocess_total_ms,252.2131,167.5686,572.7714,38.0223,28.4069,75.4269
gpu_inference_only_ms,51.3179,32.6597,110.8289,51.7492,38.7891,85.4533
image_load_decode_ms,92.9383,91.1075,125.9932,10.0907,9.7270,12.8071
transform_normalize_ms,158.1883,55.2987,482.9383,25.6970,16.4830,64.1278
h2d_copy_ms,1.0864,0.2981,0.4334,2.2346,1.2007,1.7587
pil_to_tensor_cpu_ms,0.0000,0.0000,0.0000,22.8720,15.1000,61.4802
raw_h2d_copy_ms,0.0000,0.0000,0.0000,2.2346,1.2007,1.7587
gpu_cast_scale_ms,0.0000,0.0000,0.0000,0.9405,0.2715,0.4339
gpu_resize_ms,0.0000,0.0000,0.0000,0.7003,0.1862,0.2664
gpu_center_crop_ms,0.0000,0.0000,0.0000,0.8366,0.0744,0.1477
gpu_normalize_ms,0.0000,0.0000,0.0000,0.3476,0.0982,0.1920
encoder_ms,37.9765,19.4021,96.9223,36.6612,22.5812,68.5170
adp_reference_match_ms,0.9737,0.8672,1.5381,1.3850,1.0319,1.5713
residual_ms,0.0937,0.0827,0.1432,0.1074,0.1031,0.1523
projector_ms,8.6143,7.7202,9.0506,9.5209,7.9295,9.9300
compress_ms,1.1663,0.8816,0.9870,0.9206,0.9085,1.0035
ahl_forward_ms,2.2402,2.0212,3.4321,2.8655,2.3329,3.9115
