scenario,backend,threshold_mode,threshold,accuracy,precision,recall,f1,auc_roc,auc_pr,tp,fp,tn,fn,pred_changed_all_count,pred_changed_test_count,score_abs_diff_median,score_abs_diff_p95,score_abs_diff_max,fixed_f1_gap_vs_cpu,fixed_recall_gap_vs_cpu,preprocess_total_median_ms,cpu_preprocess_total_median_ms,preprocess_faster_than_cpu,meets_acceptance,tensor_max_abs_diff_median,tensor_mean_abs_diff_median,tensor_p95_abs_diff_median,tensor_p99_abs_diff_median,tensor_max_abs_diff_p95,tensor_mean_abs_diff_p95,tensor_p95_abs_diff_p95,tensor_p99_abs_diff_p95
query_only_diff,cpu_pil,fixed_cpu_threshold,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,19.38375737518072,19.38375737518072,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_only_diff,cpu_pil,backend_calibrated,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,19.38375737518072,19.38375737518072,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_only_diff,gpu_tensor_current,fixed_cpu_threshold,0.5757039785385132,0.928,0.9482758620689655,0.7857142857142857,0.859375,0.963968253968254,0.9132883395884922,55,3,177,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.724359303712845,19.38375737518072,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_current,backend_calibrated,0.5656757354736328,0.92,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.963968253968254,0.9132883395884922,55,5,175,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.724359303712845,19.38375737518072,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_true,fixed_cpu_threshold,0.5757039785385132,0.928,0.9482758620689655,0.7857142857142857,0.859375,0.963968253968254,0.9132883395884922,55,3,177,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.469623953104019,19.38375737518072,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_true,backend_calibrated,0.5656757354736328,0.92,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.963968253968254,0.9132883395884922,55,5,175,15,11,5,0.0121842622756958,0.04081547409296035,0.09214010834693909,0.022165697674418672,0.014285714285714235,5.469623953104019,19.38375737518072,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
query_only_diff,gpu_tensor_torchvision_aa_false,fixed_cpu_threshold,0.5757039785385132,0.904,0.9423076923076923,0.7,0.8032786885245902,0.9530158730158731,0.8893575107807833,49,3,177,21,22,9,0.02238348126411438,0.08112078607082365,0.2215922474861145,0.03393061380099116,0.07142857142857151,5.012513138353825,19.38375737518072,1,0,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
query_only_diff,gpu_tensor_torchvision_aa_false,backend_calibrated,0.57345050573349,0.908,0.9433962264150944,0.7142857142857143,0.8130081300813008,0.9530158730158731,0.8893575107807833,50,3,177,20,22,9,0.02238348126411438,0.08112078607082365,0.2215922474861145,0.03393061380099116,0.07142857142857151,5.012513138353825,19.38375737518072,1,,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
query_only_diff,gpu_tensor_uint8_aa_true,fixed_cpu_threshold,0.5757039785385132,0.92,0.9464285714285714,0.7571428571428571,0.8412698412698413,0.964047619047619,0.916990614934767,53,3,177,17,4,3,0.007369399070739746,0.02310238778591153,0.05261117219924927,0.00406053894425995,0.014285714285714346,4.923513159155846,19.38375737518072,1,0,0.08753514289855957,0.0008165881736204028,2.384185791015625e-07,0.017506957054138184,0.12430016994476259,0.0008715716016013175,4.76837158203125e-07,0.017506957054138184
query_only_diff,gpu_tensor_uint8_aa_true,backend_calibrated,0.5907476544380188,0.916,0.9454545454545454,0.7428571428571429,0.8320000000000001,0.964047619047619,0.916990614934767,52,3,177,18,4,3,0.007369399070739746,0.02310238778591153,0.05261117219924927,0.00406053894425995,0.014285714285714346,4.923513159155846,19.38375737518072,1,,0.08753514289855957,0.0008165881736204028,2.384185791015625e-07,0.017506957054138184,0.12430016994476259,0.0008715716016013175,4.76837158203125e-07,0.017506957054138184
ref_and_query_diff,cpu_pil,fixed_cpu_threshold,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,19.38375737518072,19.38375737518072,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref_and_query_diff,cpu_pil,backend_calibrated,0.5757039785385132,0.916,0.9152542372881356,0.7714285714285715,0.8372093023255813,0.9611904761904763,0.9166898936093516,54,5,175,16,0,0,0.0,0.0,0.0,0.0,0.0,19.38375737518072,19.38375737518072,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref_and_query_diff,gpu_tensor_current,fixed_cpu_threshold,0.5757039785385132,0.912,0.9615384615384616,0.7142857142857143,0.819672131147541,0.963015873015873,0.9097463547396321,50,2,178,20,11,7,0.012585848569869995,0.04308983236551279,0.0589449405670166,0.017537171178040323,0.05714285714285716,5.724359303712845,19.38375737518072,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
ref_and_query_diff,gpu_tensor_current,backend_calibrated,0.5823673605918884,0.904,0.96,0.6857142857142857,0.7999999999999999,0.963015873015873,0.9097463547396321,48,2,178,22,11,7,0.012585848569869995,0.04308983236551279,0.0589449405670166,0.017537171178040323,0.05714285714285716,5.724359303712845,19.38375737518072,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
ref_and_query_diff,gpu_tensor_torchvision_aa_true,fixed_cpu_threshold,0.5757039785385132,0.912,0.9615384615384616,0.7142857142857143,0.819672131147541,0.963015873015873,0.9097463547396321,50,2,178,20,11,7,0.012585848569869995,0.04308983236551279,0.0589449405670166,0.017537171178040323,0.05714285714285716,5.469623953104019,19.38375737518072,1,0,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
ref_and_query_diff,gpu_tensor_torchvision_aa_true,backend_calibrated,0.5823673605918884,0.904,0.96,0.6857142857142857,0.7999999999999999,0.963015873015873,0.9097463547396321,48,2,178,22,11,7,0.012585848569869995,0.04308983236551279,0.0589449405670166,0.017537171178040323,0.05714285714285716,5.469623953104019,19.38375737518072,1,,0.2592334747314453,0.003266196930781007,0.009350638836622238,0.04115091636776924,0.34014844894409163,0.0034306058660149574,0.00950342621654272,0.04678982831537723
ref_and_query_diff,gpu_tensor_torchvision_aa_false,fixed_cpu_threshold,0.5757039785385132,0.896,0.94,0.6714285714285714,0.7833333333333332,0.9467460317460318,0.8935983351387998,47,3,177,23,23,11,0.02541540563106537,0.09737411141395562,0.25839483737945557,0.05387596899224811,0.10000000000000009,5.012513138353825,19.38375737518072,1,0,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
ref_and_query_diff,gpu_tensor_torchvision_aa_false,backend_calibrated,0.556605875492096,0.904,0.9107142857142857,0.7285714285714285,0.8095238095238095,0.9467460317460318,0.8935983351387998,51,5,175,19,23,11,0.02541540563106537,0.09737411141395562,0.25839483737945557,0.05387596899224811,0.10000000000000009,5.012513138353825,19.38375737518072,1,,1.6399273872375488,0.014817886985838413,0.051405616104602814,0.25732719898223877,2.443328070640564,0.019140969589352595,0.06991168484091759,0.33443231880664803
ref_and_query_diff,gpu_tensor_uint8_aa_true,fixed_cpu_threshold,0.5757039785385132,0.92,0.9464285714285714,0.7571428571428571,0.8412698412698413,0.9601587301587302,0.9129362151001771,53,3,177,17,5,5,0.009103164076805115,0.03391492962837211,0.07396644353866577,0.00406053894425995,0.014285714285714346,4.923513159155846,19.38375737518072,1,0,0.08753514289855957,0.0008165881736204028,2.384185791015625e-07,0.017506957054138184,0.12430016994476259,0.0008715716016013175,4.76837158203125e-07,0.017506957054138184
ref_and_query_diff,gpu_tensor_uint8_aa_true,backend_calibrated,0.582179069519043,0.912,0.9444444444444444,0.7285714285714285,0.8225806451612904,0.9601587301587302,0.9129362151001771,51,3,177,19,5,5,0.009103164076805115,0.03391492962837211,0.07396644353866577,0.00406053894425995,0.014285714285714346,4.923513159155846,19.38375737518072,1,,0.08753514289855957,0.0008165881736204028,2.384185791015625e-07,0.017506957054138184,0.12430016994476259,0.0008715716016013175,4.76837158203125e-07,0.017506957054138184
